OTU,Phylum
OTU_492,Bacillota
OTU_493,Bacillota
OTU_494,Bacillota
OTU_495,Pseudomonadota
OTU_496,Bacillota
OTU_497,Bacillota
OTU_498,Elusimicrobiota
OTU_499,Bacillota
OTU_500,Bacillota
OTU_501,Bacillota
OTU_502,Bacillota
OTU_503,Bacteroidota
OTU_504,Bacillota
OTU_506,Bacillota
OTU_508,Bacillota
OTU_509,Bacillota
OTU_510,Bacillota
OTU_511,Bacillota
OTU_512,Bacillota
OTU_514,Bacillota
OTU_516,Spirochaetota
OTU_517,Bacillota
OTU_518,Bacillota
OTU_520,Bacillota
OTU_522,Bacillota
OTU_523,Bacillota
OTU_524,Spirochaetota
OTU_525,Bacillota
OTU_526,Bacillota
OTU_528,Bacillota
OTU_529,Bacillota
OTU_530,Bacillota
OTU_532,Bacillota
OTU_534,Actinomycetota
OTU_535,Bacillota
OTU_537,Bacillota
OTU_538,Bacillota
OTU_539,Spirochaetota
OTU_540,Pseudomonadota
OTU_541,Bacillota
OTU_542,Bacillota
OTU_544,Elusimicrobiota
OTU_545,Bacillota
OTU_546,Bacillota
OTU_547,Bacillota
OTU_548,Actinomycetota
OTU_549,Bacillota
OTU_550,Bacillota
OTU_552,Bacillota
OTU_553,Bacillota
OTU_554,Bacillota
OTU_555,Spirochaetota
OTU_556,Bacillota
OTU_557,Pseudomonadota
OTU_558,Verrucomicrobiota
OTU_559,Bacillota
OTU_561,Bacillota
OTU_562,Bacillota
OTU_563,Bacillota
OTU_564,Bacillota
OTU_565,Bacillota
OTU_566,Bacillota
OTU_569,Bacillota
OTU_571,Bacillota
OTU_572,Bacillota
OTU_573,Bacillota
OTU_577,Bacillota
OTU_578,Bacillota
OTU_581,Bacillota
OTU_582,Bacillota
OTU_583,Pseudomonadota
OTU_584,Bacillota
OTU_586,Spirochaetota
OTU_587,Bacillota
OTU_588,Bacillota
OTU_589,Bacillota
OTU_590,Bacillota
OTU_592,Bacillota
OTU_593,Bacillota
OTU_594,Bacillota
OTU_595,Bacteroidota
OTU_596,Spirochaetota
OTU_597,Bacillota
OTU_598,Pseudomonadota
OTU_599,Bacillota
OTU_601,Bacillota
OTU_602,Bacillota
OTU_604,Bacillota
OTU_605,Pseudomonadota
OTU_606,Spirochaetota
OTU_608,Bacillota
OTU_609,Bacillota
OTU_611,Bacillota
OTU_612,Bacteroidota
OTU_613,Bacillota
OTU_614,Bacteroidota
OTU_615,Spirochaetota
OTU_616,Bacillota
OTU_617,Bacillota
OTU_619,Spirochaetota
OTU_620,Pseudomonadota
OTU_621,Bacillota
OTU_622,Pseudomonadota
OTU_623,Bacillota
OTU_624,Bacillota
OTU_625,Bacillota
OTU_626,Bacteroidota
OTU_627,Bacillota
OTU_628,Bacillota
OTU_629,Bacillota
OTU_630,Bacillota
OTU_631,Bacillota
OTU_632,Bacillota
OTU_633,Bacillota
OTU_634,Bacillota
OTU_636,Spirochaetota
OTU_637,Elusimicrobiota
OTU_638,Planctomycetota
OTU_639,Bacillota
OTU_640,Elusimicrobiota
OTU_641,Bacillota
OTU_642,Bacillota
OTU_643,Bacillota
OTU_644,Bacteroidota
OTU_645,Bacillota
OTU_646,Spirochaetota
OTU_648,Actinomycetota
OTU_650,Bacillota
OTU_651,Elusimicrobiota
OTU_652,Bacillota
OTU_653,Bacillota
OTU_654,Bacillota
OTU_655,Bacillota
OTU_656,Bacillota
OTU_657,Bacillota
OTU_658,Bacillota
OTU_659,Bacillota
OTU_661,Bacillota
OTU_662,Bacillota
OTU_663,Bacillota
OTU_664,Bacillota
OTU_666,Spirochaetota
OTU_667,Bacillota
OTU_668,Bacillota
OTU_669,Pseudomonadota
OTU_673,Bacillota
OTU_676,Bacillota
OTU_678,Bacillota
OTU_679,Pseudomonadota
OTU_680,Bacillota
OTU_681,Bacillota
OTU_682,Bacillota
OTU_685,Bacillota
OTU_686,Elusimicrobiota
OTU_687,Bacillota
OTU_690,Bacillota
OTU_691,Bacillota
OTU_692,Bacillota
OTU_693,Bacillota
OTU_694,Pseudomonadota
OTU_695,Bacillota
OTU_696,Bacillota
OTU_697,Bacillota
OTU_698,Bacillota
OTU_699,Bacillota
OTU_701,Bacillota
OTU_702,Bacillota
OTU_704,Pseudomonadota
OTU_706,Bacillota
OTU_708,Bacillota
OTU_710,Bacillota
OTU_711,Synergistota
OTU_712,Bacillota
OTU_713,Bacillota
OTU_714,Bacillota
OTU_716,Bacillota
OTU_717,Pseudomonadota
OTU_718,Bacillota
OTU_720,Bacillota
OTU_721,Bacillota
OTU_722,Bacteroidota
OTU_723,Bacillota
OTU_724,Bacillota
OTU_725,Bacillota
OTU_726,Spirochaetota
OTU_727,Bacillota
OTU_728,Bacillota
OTU_731,Bacillota
OTU_732,Bacillota
OTU_733,Bacillota
OTU_734,Spirochaetota
OTU_735,Bacillota
OTU_736,Bacillota
OTU_737,Actinomycetota
OTU_738,Bacillota
OTU_740,Pseudomonadota
OTU_741,Bacillota
OTU_742,Bacillota
OTU_744,Bacillota
OTU_745,Bacteroidota
OTU_746,Bacillota
OTU_747,Bacillota
OTU_748,Spirochaetota
OTU_749,Bacillota
OTU_750,Bacillota
OTU_752,Pseudomonadota
OTU_753,Pseudomonadota
OTU_755,Bacillota
OTU_756,Bacillota
OTU_757,Bacillota
OTU_758,Bacillota
OTU_759,Spirochaetota
OTU_760,Bacillota
OTU_761,Bacillota
OTU_762,Bacillota
OTU_763,Verrucomicrobiota
OTU_764,Bacillota
OTU_765,Spirochaetota
OTU_766,Bacillota
OTU_769,Bacillota
OTU_770,Bacillota
OTU_771,Bacillota
OTU_773,Spirochaetota
OTU_774,Bacillota
OTU_777,Bacillota
OTU_778,Bacillota
OTU_779,Bacillota
OTU_780,Bacteroidota
OTU_782,Pseudomonadota
OTU_783,Bacillota
OTU_784,Bacteroidota
OTU_786,Spirochaetota
OTU_787,Spirochaetota
OTU_788,Bacillota
OTU_789,Spirochaetota
OTU_790,Bacillota
OTU_792,Bacillota
OTU_793,Bacillota
OTU_795,Bacillota
OTU_796,Pseudomonadota
OTU_797,Bacillota
OTU_798,Bacillota
OTU_799,Bacillota
OTU_801,Elusimicrobiota
OTU_802,Bacillota
OTU_803,Bacillota
OTU_804,Bacillota
OTU_805,Pseudomonadota
OTU_806,Bacillota
OTU_807,Spirochaetota
OTU_809,Bacillota
OTU_810,Spirochaetota
OTU_812,Bacillota
OTU_813,Bacillota
OTU_814,Bacillota
OTU_816,Bacteroidota
OTU_820,Bacillota
OTU_821,Bacillota
OTU_822,Bacillota
OTU_824,Bacillota
OTU_825,Pseudomonadota
OTU_827,Bacillota
OTU_828,Bacillota
OTU_829,Bacillota
OTU_830,Bacillota
OTU_832,Bacillota
OTU_833,Bacillota
OTU_834,Bacillota
OTU_835,Bacteroidota
OTU_836,Bacteroidota
OTU_837,Bacillota
OTU_838,Spirochaetota
OTU_839,Spirochaetota
OTU_841,Bacillota
OTU_842,Bacillota
OTU_843,Bacillota
OTU_847,Pseudomonadota
OTU_848,Bacillota
OTU_849,Bacillota
OTU_850,Bacteroidota
OTU_855,Bacillota
OTU_857,Bacillota
OTU_858,Bacteroidota
OTU_860,Elusimicrobiota
OTU_861,Spirochaetota
OTU_862,Bacillota
OTU_863,Verrucomicrobiota
OTU_864,Bacillota
OTU_865,Bacillota
OTU_866,Bacillota
OTU_867,Bacillota
OTU_868,Spirochaetota
OTU_869,Bacillota
OTU_871,Bacillota
OTU_872,Bacillota
OTU_873,Bacillota
OTU_874,Bacillota
OTU_875,Bacillota
OTU_876,Bacillota
OTU_877,Bacillota
OTU_878,Bacillota
OTU_879,Spirochaetota
OTU_880,Bacillota
OTU_881,Bacillota
OTU_882,Bacillota
OTU_883,Bacillota
OTU_884,Bacillota
OTU_885,Bacillota
OTU_886,Bacillota
OTU_887,Bacillota
OTU_889,Bacteroidota
OTU_890,Bacillota
OTU_892,Bacillota
OTU_893,Elusimicrobiota
OTU_894,Bacillota
OTU_895,Bacillota
OTU_897,Bacillota
OTU_899,Bacillota
OTU_900,Bacillota
OTU_903,Spirochaetota
OTU_905,Bacteroidota
OTU_906,Bacillota
OTU_911,Bacillota
OTU_912,Bacillota
OTU_913,Bacillota
OTU_914,Pseudomonadota
OTU_915,Bacillota
OTU_916,Spirochaetota
OTU_917,Bacillota
OTU_918,Pseudomonadota
OTU_919,Actinomycetota
OTU_920,Bacillota
OTU_921,Bacillota
OTU_923,Bacillota
OTU_924,Spirochaetota
OTU_925,Bacillota
OTU_927,Elusimicrobiota
OTU_929,Pseudomonadota
OTU_930,Pseudomonadota
OTU_932,Bacillota
OTU_933,Pseudomonadota
OTU_934,Bacillota
OTU_936,Spirochaetota
OTU_937,Bacillota
OTU_938,Bacillota
OTU_939,Spirochaetota
OTU_940,Bacillota
OTU_941,Bacillota
OTU_942,Actinomycetota
OTU_943,Bacillota
OTU_944,Elusimicrobiota
OTU_945,Bacillota
OTU_947,Bacillota
OTU_948,Bacillota
OTU_950,Bacillota
OTU_951,Bacillota
OTU_952,Bacillota
OTU_953,Bacillota
OTU_954,Bacillota
OTU_956,Bacillota
OTU_957,Bacillota
OTU_958,Actinomycetota
OTU_959,Bacillota
OTU_960,Bacteroidota
OTU_961,Pseudomonadota
OTU_962,Spirochaetota
OTU_963,Bacillota
OTU_964,Bacillota
OTU_965,Bacillota
OTU_968,Elusimicrobiota
OTU_969,Bacteroidota
OTU_972,Bacillota
OTU_973,Bacillota
OTU_974,Bacillota
OTU_975,Bacillota
OTU_976,Bacillota
OTU_977,Bacillota
OTU_978,Bacillota
OTU_980,Bacillota
OTU_982,Pseudomonadota
OTU_983,Bacillota
OTU_985,Bacillota
OTU_986,Bacillota
OTU_988,Bacillota
OTU_989,Actinomycetota
OTU_990,Candidatus
OTU_991,Pseudomonadota
OTU_992,Pseudomonadota
OTU_993,Bacteroidota
OTU_994,Bacillota
OTU_995,Bacillota
OTU_996,Bacillota
OTU_997,Bacillota
OTU_998,Bacillota
OTU_1000,Bacillota
OTU_1001,Bacillota
OTU_1002,Bacillota
OTU_1003,Bacillota
OTU_1004,Verrucomicrobiota
OTU_1006,Bacillota
OTU_1007,Bacteroidota
OTU_1008,Elusimicrobiota
OTU_1009,Bacillota
OTU_1010,Spirochaetota
OTU_1011,Bacillota
OTU_1012,Spirochaetota
OTU_1013,Bacillota
OTU_1014,Bacillota
OTU_1015,Bacillota
OTU_1016,Bacillota
OTU_1017,Bacillota
OTU_1018,Bacillota
OTU_1019,Bacillota
OTU_1020,Bacillota
OTU_1021,Bacillota
OTU_1022,Bacillota
OTU_1024,Bacillota
OTU_1025,Bacillota
OTU_1026,Bacillota
OTU_1028,Bacillota
OTU_1029,Elusimicrobiota
OTU_1032,Bacillota
OTU_1033,Bacillota
OTU_1034,Bacteroidota
OTU_1036,Spirochaetota
OTU_1037,Bacillota
OTU_1038,Bacillota
OTU_1039,Bacillota
OTU_1041,Pseudomonadota
OTU_1042,Bacillota
OTU_1044,Spirochaetota
OTU_1046,Spirochaetota
OTU_1047,Pseudomonadota
OTU_1049,Bacillota
OTU_1050,Bacillota
OTU_1051,Bacillota
OTU_1052,Bacillota
OTU_1054,Bacillota
OTU_1055,Bacillota
OTU_1056,Bacteroidota
OTU_1057,Pseudomonadota
OTU_1058,Pseudomonadota
OTU_1059,Bacillota
OTU_1060,Bacteroidota
OTU_1061,Bacillota
OTU_1064,Spirochaetota
OTU_1065,Pseudomonadota
OTU_1068,Bacillota
OTU_1072,Spirochaetota
OTU_1073,Bacillota
OTU_1074,Elusimicrobiota
OTU_1075,Pseudomonadota
OTU_1077,Bacillota
OTU_1079,Bacillota
OTU_1080,Bacillota
OTU_1081,Bacillota
OTU_1082,Bacillota
OTU_1084,Bacillota
OTU_1085,Pseudomonadota
OTU_1087,Spirochaetota
OTU_1088,Spirochaetota
OTU_1089,Bacillota
OTU_1091,Spirochaetota
OTU_1092,Bacillota
OTU_1094,Bacillota
OTU_1095,Spirochaetota
OTU_1096,Spirochaetota
OTU_1097,Bacillota
OTU_1098,Bacillota
OTU_1100,Bacteroidota
OTU_1103,Bacillota
OTU_1107,Bacillota
OTU_1109,Bacillota
OTU_1110,Pseudomonadota
OTU_1111,Bacillota
OTU_1113,Spirochaetota
OTU_1114,Bacillota
OTU_1115,Bacillota
OTU_1116,Bacillota
OTU_1118,Bacillota
OTU_1119,Bacteroidota
OTU_1120,Spirochaetota
OTU_1121,Elusimicrobiota
OTU_1122,Bacillota
OTU_1124,Spirochaetota
OTU_1125,Elusimicrobiota
OTU_1126,Elusimicrobiota
OTU_1128,Pseudomonadota
OTU_1129,Bacillota
OTU_1130,Bacillota
OTU_1131,Spirochaetota
OTU_1132,Bacillota
OTU_1133,Bacillota
OTU_1135,Pseudomonadota
OTU_1136,Pseudomonadota
OTU_1137,Elusimicrobiota
OTU_1138,Elusimicrobiota
OTU_1139,Elusimicrobiota
OTU_1144,Bacteroidota
OTU_1145,Actinomycetota
OTU_1147,Bacillota
OTU_1149,Bacillota
OTU_1150,Bacillota
OTU_1151,Bacillota
OTU_1153,Bacillota
OTU_1155,Bacillota
OTU_1158,Pseudomonadota
OTU_1159,Bacillota
OTU_1160,Bacillota
OTU_1161,Bacillota
OTU_1162,Elusimicrobiota
OTU_1163,Bacillota
OTU_1164,Actinomycetota
OTU_1165,Spirochaetota
OTU_1166,Spirochaetota
OTU_1167,Bacillota
OTU_1168,Bacillota
OTU_1169,Spirochaetota
OTU_1170,Bacillota
OTU_1171,Elusimicrobiota
OTU_1172,Bacillota
OTU_1174,Bacillota
OTU_1175,Pseudomonadota
OTU_1176,Bacteroidota
OTU_1178,Spirochaetota
OTU_1179,Spirochaetota
OTU_1180,Spirochaetota
OTU_1181,Bacteroidota
OTU_1182,Bacillota
OTU_1183,Bacillota
OTU_1184,Bacillota
OTU_1185,Bacillota
OTU_1187,Bacillota
OTU_1189,Bacillota
OTU_1190,Bacillota
OTU_1191,Bacillota
OTU_1193,Bacillota
OTU_1195,Pseudomonadota
OTU_1196,Bacillota
OTU_1199,Pseudomonadota
OTU_1200,Bacillota
OTU_1201,Bacillota
OTU_1202,Bacteroidota
OTU_1203,Bacillota
OTU_1205,Spirochaetota
OTU_1206,Bacillota
OTU_1207,Spirochaetota
OTU_1208,Spirochaetota
OTU_1209,Spirochaetota
OTU_1210,Bacillota
OTU_1211,Elusimicrobiota
OTU_1212,Synergistota
OTU_1213,Elusimicrobiota
OTU_1214,Actinomycetota
OTU_1215,Elusimicrobiota
OTU_1216,Bacteroidota
OTU_1217,Spirochaetota
OTU_1218,Spirochaetota
OTU_1219,Spirochaetota
OTU_1220,Spirochaetota
OTU_1221,Actinomycetota
OTU_1222,Spirochaetota
OTU_1223,Spirochaetota
OTU_1224,Spirochaetota
OTU_1225,Pseudomonadota
OTU_1226,Elusimicrobiota
OTU_1228,Bacillota
OTU_1229,Pseudomonadota
OTU_1230,Candidatus
OTU_1232,Bacillota
OTU_1235,Bacillota
OTU_1236,Bacillota
OTU_1237,Actinomycetota
OTU_1239,Bacillota
OTU_1240,Bacillota
OTU_1241,Elusimicrobiota
OTU_1242,Bacillota
OTU_1244,Bacillota
OTU_1245,Pseudomonadota
OTU_1246,Bacillota
OTU_1247,SR1
OTU_1248,Spirochaetota
OTU_1250,Spirochaetota
OTU_1251,Bacillota
OTU_1252,Bacteroidota
OTU_1256,Spirochaetota
OTU_1257,Bacteroidota
OTU_1260,Spirochaetota
OTU_1262,Spirochaetota
OTU_1263,Elusimicrobiota
OTU_1264,Spirochaetota
OTU_1265,Elusimicrobiota
OTU_1267,Pseudomonadota
OTU_1268,Spirochaetota
OTU_1270,Bacillota
OTU_1272,Bacillota
OTU_1274,Elusimicrobiota
OTU_1275,Bacillota
OTU_1277,Bacillota
OTU_1278,Bacillota
OTU_1279,Spirochaetota
OTU_1281,Bacillota
OTU_1282,Bacillota
OTU_1284,Pseudomonadota
OTU_1286,Pseudomonadota
OTU_1287,Bacillota
OTU_1288,Bacteroidota
OTU_1289,Bacillota
OTU_1290,Verrucomicrobiota
OTU_1293,Spirochaetota
OTU_1294,Bacteroidota
OTU_1296,Elusimicrobiota
OTU_1298,Spirochaetota
OTU_1299,Bacteroidota
OTU_1300,Elusimicrobiota
OTU_1301,Elusimicrobiota
OTU_1303,Bacillota
OTU_1305,Spirochaetota
OTU_1306,Bacillota
OTU_1307,Bacillota
OTU_1309,Bacillota
OTU_1311,Bacillota
OTU_1313,Pseudomonadota
OTU_1314,Bacillota
OTU_1315,Spirochaetota
OTU_1316,Bacillota
OTU_1318,Elusimicrobiota
OTU_1319,Bacillota
OTU_1320,Bacteroidota
OTU_1323,Bacillota
OTU_1325,Elusimicrobiota
OTU_1326,Bacillota
OTU_1327,Elusimicrobiota
OTU_1328,Spirochaetota
OTU_1329,Spirochaetota
OTU_1330,Spirochaetota
OTU_1331,Elusimicrobiota
OTU_1332,Spirochaetota
OTU_1333,Bacillota
OTU_1334,Synergistota
OTU_1337,Bacillota
OTU_1338,Bacillota
OTU_1339,Bacillota
OTU_1340,Pseudomonadota
OTU_1343,Bacillota
OTU_1346,Bacillota
OTU_1347,Bacillota
OTU_1349,Bacillota
OTU_1350,Bacillota
OTU_1351,Bacillota
OTU_1353,Bacillota
OTU_1355,Elusimicrobiota
OTU_1356,Bacillota
OTU_1357,Bacillota
OTU_1358,Spirochaetota
OTU_1359,Pseudomonadota
OTU_1360,Actinomycetota
OTU_1361,Bacillota
OTU_1362,Bacteroidota
OTU_1363,Pseudomonadota
OTU_1364,Pseudomonadota
OTU_1365,Pseudomonadota
OTU_1366,Pseudomonadota
OTU_1367,Spirochaetota
OTU_1368,Elusimicrobiota
OTU_1369,Spirochaetota
OTU_1370,Elusimicrobiota
OTU_1371,Bacteroidota
OTU_1372,Bacillota
