gene_id	fh1	fh2	hf3	ref1	ref2	ref3
"CE134153_139"	1	0	0	0	0	0
"CE134154_190"	0	0	0	2	0	0
"CE134182_50"	1	0	0	0	1	0
"CE134189_89"	0	0	0	0	0	1
"CE134194_253"	0	0	0	0	0	0
"CE134800_7958"	13	2	3	12	4	2
"CE134845_176"	0	0	0	0	0	0
"CE134890_373"	0	0	0	2	0	0
"CE135027_1457"	7	3	3	6	2	3
"CE135057_788"	5	3	1	4	1	0
"CE1351_674"	7	2	0	2	2	0
"CE135237_24835"	36	12	12	31	18	21
"CE135244_8663"	11	3	4	16	6	2
"CE1354_14251"	90	31	26	36	10	6
"CE135649_78"	1	0	0	0	0	0
"CE135728_121"	0	0	0	1	0	0
"CE135753_184"	1	0	0	1	0	0
"CE135769_211"	0	0	0	0	0	0
"CE135911_13429"	3	1	0	10	0	0
"CE136284_33284"	145	38	48	91	45	33
"CE137313_1781"	2	5	2	2	4	0
"CE137324_12476"	36	12	12	38	10	17
"CE137339_4187"	7	3	2	10	4	2
"CE137878_1026"	6	0	1	3	1	2
"CE138124_462"	3	0	0	2	1	0
"CE138366_1160"	14	1	4	34	9	14
"CE138382_9657"	9	2	1	7	0	2
"CE138416_376"	0	0	0	2	1	0
"CE138455_270"	0	0	1	0	1	1
"CE138616_2604"	12	10	5	13	5	4
"CE138827_453"	1	0	0	2	0	0
"CE138943_1033"	5	1	3	5	1	2
"CE139029_485"	1	1	0	5	2	1
"CE139633_4036"	17	3	0	17	7	1
"CE140132_8969"	4	0	7	8	2	4
"CE140303_647"	6	0	0	4	1	3
"CE141475_89"	0	0	0	0	0	0
"CE141869_486"	1	0	0	0	0	0
"CE142112_16877"	61	22	8	67	21	20
"CE142130_128"	0	0	0	0	0	0
"CE142218_1958"	7	1	2	13	2	1
"CE142278_163"	1	1	1	0	0	0
"CE142447_56"	0	0	0	0	0	0
"CE142542_4398"	15	4	5	14	8	4
"CE143164_172688"	215	71	83	328	113	148
"CE143417_4608"	8	3	1	7	0	1
"CE143877_4209"	10	3	0	6	7	1
"CE143898_23134"	63	19	19	59	8	19
"CE144326_136"	0	0	0	0	0	0
"CE14498_20110"	40	13	9	32	9	13
"CE145413_3822"	13	6	2	8	3	6
"CE145414_13082"	34	18	10	21	8	12
"CE145739_161"	1	0	0	0	0	0
